Participant,Item,Preview,Frequency,Condition,IA_SKIP,FFD
y12kth,43,V,H,VH,0,248
y12kth,50,V,H,VH,0,279
y12kth,53,V,H,VH,0,148
y12kth,54,V,H,VH,0,162
y12kth,56,V,H,VH,0,319
y12kth,59,V,H,VH,0,192
y12kth,60,V,H,VH,0,211
y12kth,61,I,L,IL,0,459
y12kth,62,I,L,IL,0,229
y12kth,64,I,L,IL,0,399
y12kth,65,I,L,IL,0,368
y12kth,66,I,L,IL,0,367
y12kth,67,I,L,IL,0,233
y12kth,68,I,L,IL,0,237
y12kth,71,I,L,IL,0,274
y12kth,72,I,L,IL,0,340
y12kth,73,I,L,IL,0,163
y12kth,74,I,L,IL,0,307
y12kth,75,I,L,IL,0,217
y12kth,76,I,L,IL,0,276
y12kth,78,I,L,IL,0,238
y12kth,80,I,L,IL,0,354
y13zjx,1,I,H,IH,0,198
y13zjx,3,I,H,IH,0,153
y13zjx,5,I,H,IH,0,437
y13zjx,8,I,H,IH,0,335
y13zjx,10,I,H,IH,0,363
y13zjx,11,I,H,IH,0,361
y13zjx,12,I,H,IH,0,237
y13zjx,14,I,H,IH,0,277
y13zjx,16,I,H,IH,0,186
y13zjx,20,I,H,IH,0,205
y13zjx,28,V,H,VH,0,165
y13zjx,39,V,H,VH,0,284
y13zjx,40,V,H,VH,0,369
y13zjx,42,I,L,IL,0,180
y13zjx,45,I,L,IL,0,265
y13zjx,49,I,L,IL,0,299
y13zjx,53,I,L,IL,0,285
y13zjx,55,I,L,IL,0,351
y13zjx,60,I,L,IL,0,257
y13zjx,65,V,L,VL,0,205
y13zjx,71,V,L,VL,0,175
y13zjx,72,V,L,VL,0,356
y13zjx,73,V,L,VL,0,552
y13zjx,74,V,L,VL,0,204
y13zjx,75,V,L,VL,0,176
y13zjx,77,V,L,VL,0,167
y13zjx,78,V,L,VL,0,180
y13zjx,79,V,L,VL,0,235
y15wrx,3,I,L,IL,0,139
y15wrx,7,I,L,IL,0,254
y15wrx,8,I,L,IL,0,207
y15wrx,10,I,L,IL,0,238
y15wrx,16,I,L,IL,0,321
y15wrx,20,I,L,IL,0,201
y15wrx,28,V,L,VL,0,177
y15wrx,36,V,L,VL,0,196
y15wrx,41,I,H,IH,0,222
y15wrx,45,I,H,IH,0,248
y15wrx,52,I,H,IH,0,200
y15wrx,55,I,H,IH,0,218
y15wrx,68,V,H,VH,0,191
y15wrx,72,V,H,VH,0,175
y15wrx,76,V,H,VH,0,269
y17jyy,4,I,H,IH,0,179
y17jyy,6,I,H,IH,0,241
y17jyy,11,I,H,IH,0,276
y17jyy,12,I,H,IH,0,306
y17jyy,14,I,H,IH,0,332
y17jyy,15,I,H,IH,0,98
y17jyy,17,I,H,IH,0,206
y17jyy,18,I,H,IH,0,401
y17jyy,22,V,H,VH,0,201
y17jyy,24,V,H,VH,0,236
y17jyy,25,V,H,VH,0,177
y17jyy,31,V,H,VH,0,254
y17jyy,35,V,H,VH,0,146
y17jyy,36,V,H,VH,0,310
y17jyy,37,V,H,VH,0,211
y17jyy,39,V,H,VH,0,188
y17jyy,41,I,L,IL,0,263
y17jyy,44,I,L,IL,0,269
y17jyy,45,I,L,IL,0,289
y17jyy,49,I,L,IL,0,193
y17jyy,51,I,L,IL,0,259
y17jyy,55,I,L,IL,0,142
y17jyy,58,I,L,IL,0,471
y17jyy,61,V,L,VL,0,229
y17jyy,62,V,L,VL,0,219
y17jyy,64,V,L,VL,0,198
y17jyy,72,V,L,VL,0,408
y17jyy,73,V,L,VL,0,191
y17jyy,75,V,L,VL,0,161
y17jyy,76,V,L,VL,0,216
y17jyy,79,V,L,VL,0,194
y17jyy,80,V,L,VL,0,198
y18hyl,4,V,H,VH,0,126
y18hyl,6,V,H,VH,0,234
y18hyl,11,V,H,VH,0,204
y18hyl,14,V,H,VH,0,129
y18hyl,15,V,H,VH,0,471
y18hyl,16,V,H,VH,0,254
y18hyl,17,V,H,VH,0,219
y18hyl,18,V,H,VH,0,191
y18hyl,19,V,H,VH,0,337
y18hyl,23,I,L,IL,0,203
y18hyl,24,I,L,IL,0,305
y18hyl,25,I,L,IL,0,208
y18hyl,26,I,L,IL,0,252
y18hyl,27,I,L,IL,0,300
y18hyl,28,I,L,IL,0,283
y18hyl,30,I,L,IL,0,286
y18hyl,31,I,L,IL,0,257
y18hyl,32,I,L,IL,0,350
y18hyl,34,I,L,IL,0,301
y18hyl,35,I,L,IL,0,431
y18hyl,37,I,L,IL,0,296
y18hyl,39,I,L,IL,0,237
y18hyl,41,V,L,VL,0,203
y18hyl,43,V,L,VL,0,312
y18hyl,45,V,L,VL,0,189
y18hyl,46,V,L,VL,0,286
y18hyl,47,V,L,VL,0,197
y18hyl,48,V,L,VL,0,283
y18hyl,49,V,L,VL,0,366
y18hyl,52,V,L,VL,0,199
y18hyl,54,V,L,VL,0,418
y18hyl,55,V,L,VL,0,206
y18hyl,56,V,L,VL,0,169
y18hyl,59,V,L,VL,0,246
y18hyl,60,V,L,VL,0,421
y18hyl,61,I,H,IH,0,311
y18hyl,64,I,H,IH,0,313
y18hyl,65,I,H,IH,0,294
y18hyl,66,I,H,IH,0,234
y18hyl,68,I,H,IH,0,233
y18hyl,69,I,H,IH,0,326
y18hyl,70,I,H,IH,0,201
y18hyl,73,I,H,IH,0,412
y18hyl,74,I,H,IH,0,269
y18hyl,78,I,H,IH,0,374
y18hyl,79,I,H,IH,0,343
y18hyl,80,I,H,IH,0,310
